Country,Year,Population,Population of children under the age of 1,Population of children under the age of 5,Population of children under the age of 15,Population under the age of 25,Population aged 15 to 64 years,Population older than 15 years,Population older than 18 years,Population at age 1,Population aged 1 to 4 years,Population aged 5 to 9 years,Population aged 10 to 14 years,Population aged 15 to 19 years,Population aged 20 to 29 years,Population aged 30 to 39 years,Population aged 40 to 49 years,Population aged 50 to 59 years,Population aged 60 to 69 years,Population aged 70 to 79 years,Population aged 80 to 89 years,Population aged 90 to 99 years,Population older than 100 years
Afghanistan,2018,36686788,1290266.0,6147355,16402093,24377892,19401608,20284670,17596500,1252219.0,4857089.0,5334330,4920408,4343114,6468908,3881454,2608343,1586312,883719,416827,91481,4513,23.0
Africa (UN),2018,1295265000,41705100.0,198599410,529770340,776965900,721535740,765482700,683666370,40450124.0,156894300.0,177108220,154062690,132299900,216436430,164513140,110301350,73054320,43190732,19791832,5390368,504595,12040.0
Albania,2018,2877019,29625.0,156677,491484,941856,1958287,2385330,2263462,30142.0,127052.0,160919,173888,210667,474297,357749,342580,397162,316169,196515,79826,10365,205.0
Algeria,2018,41927010,995429.0,4890948,12665336,18717688,26884240,29261328,27515180,994476.0,3895519.0,4326334,3448054,2873246,6729980,7098195,5277212,3625399,2235433,1010564,378233,33065,343.0
American Samoa,2018,48445,893.0,4696,14328,22879,31308,34117,31530,924.0,3803.0,4942,4690,4204,8429,5329,5959,5522,3173,1188,286,27,0.0
Andorra,2018,75034,295.0,2679,10576,18737,54314,64423,62031,501.99997,2384.0,3921,3976,4100,8536,11198,13953,12265,7491,4300,2047,533,35.0
Angola,2018,31273538,1194189.0,5577905,14243826,20085898,16229252,17029524,15055130,1146691.0,4383716.0,4749463,3916458,3163840,5029099,3631375,2346777,1556837,836778,365295,93489,6035,187.0
Anguilla,2018,15201,154.0,828,2874,4623,10966,12327,11809,159.0,674.0,1072,974,854,2033,2885,2426,2029,1304,577,197,22,0.0
Antigua and Barbuda,2018,91644,1027.0,5376,18119,32361,65189,73513,69438,1058.0,4349.0,6324,6419,6834,14646,13702,13383,12383,7394,3508,1379,284,12.0
Argentina,2018,44413590,687918.0,3617963,10745049,17753952,28578854,33659900,31576034,716460.0,2930045.0,3621698,3505388,3484329,6969468,6440309,5489241,4312405,3496914,2235799,1000186,231249,8642.0
Armenia,2018,2836563,38045.0,205538,573502,933012,1933721,2262993,2167068,39755.0,167493.0,198271,169693,162784,466820,441734,306851,381579,294912,123889,75483,8941,68.0
Aruba,2018,105980,1055.0,5664,19150,31568,72402,86829,82780,1093.0,4609.0,6501,6985,6468,12419,13291,15224,17487,13309,6483,2016,132,1.0
Asia (UN),2018,4590021600,73443680.0,373756770,1116453500,1835408400,3081989600,3473335800,3256503800,74910750.0,300313100.0,377517500,365179170,359949250,735087170,690852800,610835700,491907550,344238300,166610350,64783040,9071550,232309.0
Australia,2018,24979228,304065.0,1572592,4691137,7921410,16374139,20283788,19416370,310654.0,1268527.0,1603694,1514851,1491091,3617540,3584780,3262591,3058389,2567947,1715769,797761,187919,4303.0
Austria,2018,8840518,85326.0,433600,1275900,2255700,5906971,7563639,7304721,88852.0,348274.0,419611,422689,442751,1140829,1195143,1223606,1371240,980509,771712,357526,80323,979.0
Azerbaijan,2018,10152524,142939.0,842624,2492127,3935303,7052229,7660352,7274786,156590.0,699685.0,897562,751941,654064,1722537,1695704,1282102,1269807,685866,231205,111270,7797,45.0
Bahamas,2018,401911,4617.0,24388,85885,153974,285176,315987,295925,4713.0,19771.0,28590,32907,33589,67457,58967,59004,49601,27657,13757,5129,826,39.0
Bahrain,2018,1487346,20821.0,106306,296416,485805,1149269,1190924,1143546,20782.0,85485.0,100852,89258,78592,294620,383056,227290,130836,53806,16450,5686,588,6.0
